Neighborhood,Id,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - No schooling completed,Margin of Error; Total: - No schooling completed,Estimate; Total: - Nursery school,Margin of Error; Total: - Nursery school,Estimate; Total: - Kindergarten,Margin of Error; Total: - Kindergarten,Estimate; Total: - 1st grade,Margin of Error; Total: - 1st grade,Estimate; Total: - 2nd grade,Margin of Error; Total: - 2nd grade,Estimate; Total: - 3rd grade,Margin of Error; Total: - 3rd grade,Estimate; Total: - 4th grade,Margin of Error; Total: - 4th grade,Estimate; Total: - 5th grade,Margin of Error; Total: - 5th grade,Estimate; Total: - 6th grade,Margin of Error; Total: - 6th grade,Estimate; Total: - 7th grade,Margin of Error; Total: - 7th grade,Estimate; Total: - 8th grade,Margin of Error; Total: - 8th grade,Estimate; Total: - 9th grade,Margin of Error; Total: - 9th grade,Estimate; Total: - 10th grade,Margin of Error; Total: - 10th grade,Estimate; Total: - 11th grade,Margin of Error; Total: - 11th grade,"Estimate; Total: - 12th grade, no diploma","Margin of Error; Total: - 12th grade, no diploma",Estimate; Total: - Regular high school diploma,Margin of Error; Total: - Regular high school diploma,Estimate; Total: - GED or alternative credential,Margin of Error; Total: - GED or alternative credential,"Estimate; Total: - Some college, less than 1 year","Margin of Error; Total: - Some college, less than 1 year","Estimate; Total: - Some college, 1 or more years, no degree","Margin of Error; Total: - Some college, 1 or more years, no degree",Estimate; Total: - Associate's degree,Margin of Error; Total: - Associate's degree,Estimate; Total: - Bachelor's degree,Margin of Error; Total: - Bachelor's degree,Estimate; Total: - Master's degree,Margin of Error; Total: - Master's degree,Estimate; Total: - Professional school degree,Margin of Error; Total: - Professional school degree,Estimate; Total: - Doctorate degree,Margin of Error; Total: - Doctorate degree
Northview Heights,59,551,117,1,11,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,19,30,2,6,78,43,40,34,12,20,158,57,63,44,4,8,40,39,98,57,3,6,9,13,0,10,24,23
Oakwood,60,907,109,7,11,0,10,0,10,0,10,0,10,0,10,0,10,0,10,21,21,0,10,4,8,25,24,6,9,13,15,22,27,314,69,26,22,79,66,56,28,134,70,131,44,53,29,10,12,6,9
Overbrook,61,2816.0,269.466138874,14.0,21.6564078277,0.0,22.360679775,0.0,22.360679775,0.0,22.360679775,0.0,22.360679775,0.0,22.360679775,0.0,22.360679775,0.0,22.360679775,18.0,25.8843582111,6.0,21.9317121995,22.0,22.6715680975,22.0,24.8596057893,64.0,36.5239647355,81.0,42.8485705713,48.0,39.0384425919,1000.0,169.008875507,170.0,58.4978632088,205.0,64.3428317686,325.0,103.329569824,394.0,109.754270988,305.0,73.1983606374,117.0,43.7607129741,11.0,26.9072480942,14.0,29.0
Perry North,62,2864.0,294.025509098,24.0,33.5410196625,0.0,24.4948974278,1.0,22.7156333832,1.0,22.7156333832,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,15.0,30.6757233004,3.0,23.4307490277,0.0,24.4948974278,9.0,26.3818119165,11.0,23.3452350599,40.0,34.0734500749,89.0,50.8527285404,30.0,28.8444102037,711.0,121.979506475,72.0,52.7730992078,128.0,52.6022813193,464.0,171.093541667,188.0,79.3221280602,688.0,139.99285696,312.0,77.4596669242,41.0,30.4466746952,37.0,25.3574446662
Perry South,63,2325.0,290.798899584,5.0,23.3666428911,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,0.0,24.4948974278,11.0,30.0,43.0,45.8039299624,60.0,59.7411081249,73.0,54.4609952167,32.0,32.3264597505,717.0,152.669577846,219.0,77.5241897733,103.0,48.1040538832,292.0,94.2496684345,290.0,126.071408337,349.0,118.042365276,92.0,48.352869615,14.0,25.8650343127,25.0,28.3196045169
Point Breeze,64,4022.0,264.673383625,0.0,26.4575131106,0.0,26.4575131106,0.0,26.4575131106,0.0,26.4575131106,3.0,25.7681974535,0.0,26.4575131106,0.0,26.4575131106,0.0,26.4575131106,0.0,26.4575131106,0.0,26.4575131106,29.0,48.6209831246,0.0,26.4575131106,9.0,27.7308492478,18.0,31.6227766016,24.0,28.8790581564,297.0,100.508706091,37.0,30.61045573,94.0,45.8257569496,322.0,93.6375992857,146.0,60.5887778388,1139.0,160.36832605,933.0,139.111466098,431.0,101.360741907,540.0,118.574870862
Point Breeze North,65,1527.0,236.611495917,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,13.0,25.3179778023,133.0,71.707740168,49.0,69.6060342212,19.0,19.7230829233,129.0,81.5475321515,216.0,110.385687478,494.0,130.640728718,226.0,92.4445779914,58.0,44.0908153701,190.0,80.1560977094
Polish Hill,66,1169.0,188.175450046,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,0.0,14.1421356237,10.0,17.2046505341,0.0,14.1421356237,7.0,13.4536240471,6.0,12.8062484749,0.0,14.1421356237,18.0,16.2788205961,18.0,18.0277563773,25.0,24.0416305603,308.0,80.0,80.0,39.8246155035,38.0,24.7588368063,183.0,70.4556598152,72.0,34.1320963318,276.0,139.118654393,78.0,41.1460812229,20.0,27.8567765544,30.0,22.803508502
Regent Square,67,774,53,8,11,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,14,18,0,10,0,10,0,10,60,26,8,12,6,10,56,29,38,32,218,51,189,44,94,43,83,59
Ridgemont,68,246,84,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,10,16,5,8,15,23,38,23,10,16,22,22,53,53,9,11,62,51,22,25,0,10,0,10
Shadyside,69,9414.0,684.999270073,75.0,64.4515321773,0.0,37.4165738677,1.0,36.1109401706,0.0,37.4165738677,0.0,37.4165738677,7.0,39.0512483796,0.0,37.4165738677,13.0,39.3192065026,3.0,36.551333765,10.0,38.209946349,64.0,76.8830280362,20.0,37.9209704517,17.0,41.0000000001,34.0,45.0666173569,20.0,39.8497176902,614.0,187.002673777,52.0,50.5667875191,120.0,71.6798437498,481.0,174.327278416,356.0,129.216871964,3116.0,451.571699735,2288.0,307.315798487,936.0,176.80214931,1187.0,243.380360752
